,ID,pca_species,COII_GenBank_Accession_Number,sex,pop,year,longitude,latitude,,note:,Cassibile=SP04+MP+SP104+Cassibile+FontaneBianche,,,,,,,,,,
D01,D01,whitei,OR724210,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D02,D02,whitei,OR724211,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D03,D03,atticus,OR724212,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D04,D04,SE hybridogen,OR724213,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D05,D05,grandii,OR724214,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D06,D06,grandii,OR724215,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D07,D07,grandii,OR724216,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D08,D08,SE hybridogen,OR724217,NA,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D09,D09,SE hybridogen,OR724218,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D10,D10,whitei,OR724219,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D11,D11,grandii,OR724220,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D12,D12,SE hybridogen,OR724221,NA,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D13,D13,grandii,OR724222,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D14,D14,whitei,OR724223,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D15,D15,grandii,OR724224,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D16,D16,grandii,OR724225,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D17,D17,grandii,OR724226,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D18,D18,grandii,OR724227,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D20,D20,grandii,OR724228,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D21,D21,SE hybridogen,OR724229,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D22,D22,grandii,OR724230,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D23,D23,grandii,OR724231,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D24,D24,grandii,OR724232,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D25,D25,grandii,OR724233,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D26,D26,grandii,OR724234,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D27,D27,grandii,OR724235,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D28,D28,grandii,OR724236,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D29,D29,grandii,OR724237,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D30,D30,grandii,OR724238,NA,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D31,D31,grandii,OR724239,NA,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D32,D32,lynceorum,OR724240,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
D33,D33,atticus,OR724241,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
D34,D34,novel,OR724242,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
D35,D35,atticus,OR724243,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
D36,D36,SE hybridogen,OR724244,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
D37,D37,whitei,OR724245,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
D38,D38,grandii,OR724246,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
D39,D39,whitei,OR724247,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
D40,D40,SE hybridogen,OR724248,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
D41,D41,lynceorum,OR724249,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
D44,,rossius,,NA,"La Ciotat, Figuerolles",2018,5.597489,43.166961,,,,,,,,,,,,,
D45,,rossius,,NA,"La Ciotat, Figuerolles",2018,5.597489,43.166961,,,,,,,,,,,,,
D46,,rossius,,NA,"La Ciotat, Figuerolles",2018,5.597489,43.166961,,,,,,,,,,,,,
D47,,,,NA,"La Ciotat, av. gare",2018,5.624613,43.198084,Clonopsis,gallica,,,,,,,,,,,
D48,,,,NA,"La Ciotat, av. gare",2018,5.624613,43.198084,Clonopsis,gallica,,,,,,,,,,,
D49,,rossius,,NA,"La Ciotat, av. gare",2018,5.624613,43.198084,,,,,,,,,,,,,
D50,,rossius,,NA,"La Ciotat, av. gare",2018,5.624613,43.198084,,,,,,,,,,,,,
D51,D51,lynceorum,OR724256,NA,FontaneBianche,2018,15.197869,36.955501,,,,,,,,,,,,,
D52,D52,lynceorum,OR724257,NA,FontaneBianche,2018,15.197869,36.955501,,,,,,,,,,,,,
D53,D53,lynceorum,OR724258,NA,FontaneBianche,2018,15.197869,36.955501,,,,,,,,,,,,,
D54,D54,lynceorum,OR724259,NA,FontaneBianche,2018,15.197869,36.955501,,,,,,,,,,,,,
D55,D55,benazzii,OR724260,NA,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
D56,D56,rossius,OR724261,NA,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
D57,D57,benazzii,OR724262,NA,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
D58,D58,maretimi,OR724263,NA,Marettimo,2018,12.078274,37.958318,,,,,,,,,,,,,
D59,,,,F,Marettimo,2018,12.078274,37.958318,,,,,,,,,,,,,
E06,E06,SE hybridogen,OR724286,NA,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
E07,E07,lynceorum,OR724287,F,SantoPietro,2020,14.498408,37.094852,,,,,,,,,,,,,
E08,E08,lynceorum,OR724288,F,SantoPietro,2020,14.498408,37.094852,,,,,,,,,,,,,
E09,E09,lynceorum,OR724289,F,SantoPietro,2020,14.498408,37.094852,,,,,,,,,,,,,
E10,E10,lynceorum,OR724290,F,SantoPietro,2020,14.498408,37.094852,,,,,,,,,,,,,
E11,E11,lynceorum,OR724291,F,SantoPietro,2020,14.498408,37.094852,,,,,,,,,,,,,
E12,,SE hybridogen,,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
E13,E13,grandii,OR724293,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
E14,E14,SE hybridogen,OR724294,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
E15,,,,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
E16,,,,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
E18,E18,SE hybridogen,OR724297,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
E19,,,,NA,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
E20,,,,NA,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
E21,E21,grandii,OR724300,NA,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
E22,E22,grandii,OR724301,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
E23,,,,NA,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
E24,E24,SE hybridogen,OR724303,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
E25,,SE hybridogen,,NA,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
E26,E26,grandii,OR724305,NA,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
E27,,,,NA,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
E29,,,,NA,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
E30,E30,grandii,OR724308,NA,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
E31,E31,SE hybridogen,OR724309,NA,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
E32,E32,rossius,OR724310,F,Ravenna,2020,12.252333,44.364955,,,,,,,,,,,,,
E33,E33,rossius,OR724311,F,Ravenna,2020,12.252333,44.364955,,,,,,,,,,,,,
E34,E34,rossius,OR724312,F,Ravenna,2020,12.252333,44.364955,,,,,,,,,,,,,
E35,E35,rossius,OR724313,F,Ravenna,2020,12.252333,44.364955,,,,,,,,,,,,,
E36,E36,rossius,OR724314,F,Ravenna,2020,12.252333,44.364955,,,,,,,,,,,,,
E37,E37,rossius,OR724315,F,Ravenna,2020,12.252333,44.364955,,,,,,,,,,,,,
E38,E38,rossius,OR724316,F,Ravenna,2020,12.252333,44.364955,,,,,,,,,,,,,
E39,E39,SE hybridogen,OR724317,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
E40,E40,SE hybridogen,OR724318,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
E41,,SE hybridogen,,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
E42,E42,SE hybridogen,OR724320,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
E43,,,,NA,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
E44,E44,SE hybridogen,OR724322,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
E45,E45,SE hybridogen,OR724323,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
E46,,SE hybridogen,,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
E47,E47,whitei,OR724325,F,PalazzoloAcreide,2020,14.957433,37.040547,,,,,,,,,,,,,
E48,E48,whitei,OR724326,F,PalazzoloAcreide,2020,14.957433,37.040547,,,,,,,,,,,,,
E49,E49,whitei,OR724327,F,PalazzoloAcreide,2020,14.957433,37.040547,,,,,,,,,,,,,
E50,E50,whitei,OR724328,F,PalazzoloAcreide,2020,14.957433,37.040547,,,,,,,,,,,,,
E51,E51,whitei,OR724329,F,PalazzoloAcreide,2020,14.957433,37.040547,,,,,,,,,,,,,
E52,E52,whitei,OR724330,F,PalazzoloAcreide,2020,14.957433,37.040547,,,,,,,,,,,,,
E53,E53,whitei,OR724331,F,PalazzoloAcreide,2020,14.957433,37.040547,,,,,,,,,,,,,
E54,E54,whitei,OR724332,F,PalazzoloAcreide,2020,14.957433,37.040547,,,,,,,,,,,,,
E55,E55,whitei,OR724333,F,PalazzoloAcreide,2020,14.957433,37.040547,,,,,,,,,,,,,
E56,E56,whitei,OR724334,F,PalazzoloAcreide,2020,14.957433,37.040547,,,,,,,,,,,,,
E57,E57,whitei,OR724335,F,PalazzoloAcreide,2020,14.957433,37.040547,,,,,,,,,,,,,
E58,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E59,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E60,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E61,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E62,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E63,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E64,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E65,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E66,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E67,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E68,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E69,,,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E70,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E71,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E73,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E74,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
E75,,rossius,,F,Pise,2020,10.345098,43.685626,,,,,,,,,,,,,
